,FEMALE,MALE
0,ive seen,new york
1,new york,dont know
2,social media,look like
3,im sure,malik monk
4,health care,just like
5,im going,liked video
6,looking forward,dont think
7,criminal investigation,im sure
8,donald trump,chance win
9,president trump,years ago
10,happy birthday,mass shooting
11,just want,im just
12,dont understand,im going
13,left right,stock market
14,late night,let know
15,dont know,health care
16,fox news,make sure
17,long way,white house
18,mentally ill,derrick rose
19,sandy hook,happy birthday
20,united states,im sorry
21,people say,just want
22,did know,just ran
23,shes president,just published
24,just remembered,dont care
25,thoughts prayers,im tired
26,bank account,good news
27,feel like,ill donate
28,chance win,dont want
29,jeff sessions,high school
30,edit button,dont need
31,dont agree,dont like
32,witch hunt,pretty good
33,mueller investigating,violent rhetoric
34,obstruction justice,looks like
35,make sure,press conference
36,giveaway chance,mzanzifollotrain mzansifollotrain
37,entered giveaway,app store
38,patti lupone,north korea
39, just published, white male
