,FEMALE,MALE
0,just,just
1,like,like
2,im,im
3,people,dont
4,trump,people
5,new,new
6,love,know
7,life,trump
8,day,right
9,today,think
10,dont,today
11,want,good
12,time,got
13,best,want
14,great,time
15,know,make
16,right,love
17,getting,say
18,got,really
19,think,best
20,way,need
21,ill,did
22,president,day
23,thanks,thanks
24,care,sure
25,make,life
26,check,ill
27,going,great
28,say,years
29,remember,https
30,health,youre
31,stop,ive
32,ive,hes
33,https,guy
34,youre,getting
35,good,follow
36,country,come
37,family,thats
38,join,man
39, thats, twitter
