,FEMALE,MALE
0,just,im
1,like,just
2,im,like
3,people,want
4,new,think
5,day,people
6,love,dont
7,trump,know
8,time,trump
9,life,new
10,best,good
11,president,fight
12,dont,today
13,today,need
14,great,right
15,right,got
16,think,say
17,way,time
18,want,best
19,thanks,thanks
20,check,make
21,going,life
22,remember,left
23,know,love
24,say,follow
25,youre,whats
26,2017,tonight
27,got,ill
28,ill,https
29,yes,video
30,getting,did
31,left,really
32,stop,getting
33,did,youre
34,family,years
35,america,work
36,big,twitter
37,join,team
38,need,great
39, make, thats
