,FEMALE,MALE
0,just,just
1,like,im
2,im,like
3,people,know
4,new,dont
5,love,people
6,day,think
7,trump,new
8,life,want
9,time,trump
10,best,right
11,president,good
12,dont,today
13,way,say
14,want,got
15,great,best
16,today,make
17,right,time
18,think,need
19,going,fight
20,ill,love
21,remember,really
22,check,thanks
23,know,life
24,thanks,did
25,got,ill
26,say,twitter
27,getting,sure
28,yes,years
29,ive,hes
30,stop,day
31,family,left
32,2017,thats
33,youre,follow
34,join,come
35,https,youre
36,said,great
37,make,https
38,health,work
39, care, isnt
